Country Code,year,MF
AFG,2023,1.2455
AGO,2023,2.9376
ALB,2023,10.0369
ARE,2023,39.7661
ARG,2023,16.3294
ARM,2023,7.9622
AUS,2023,31.4649
AUT,2023,25.8437
AZE,2023,6.8927
BDI,2023,1.5955
BEL,2023,45.671
BEN,2023,3.5248
BFA,2023,2.0136
BGD,2023,4.3416
BGR,2023,16.1582
BHR,2023,24.5859
BHS,2023,16.6981
BIH,2023,15.7165
BLZ,2023,10.9432
BOL,2023,12.0847
BRA,2023,16.5813
BRN,2023,20.4333
BTN,2023,24.6783
BWA,2023,5.2822
CAF,2023,2.9216
CAN,2023,40.2801
CHE,2023,39.829
CHL,2023,14.6432
CHN,2023,24.9062
CIV,2023,13.5111
CMR,2023,4.0072
COD,2023,1.8103
COG,2023,3.4732
COL,2023,8.5553
CRI,2023,10.9874
CUB,2023,6.8329
CYP,2023,24.748
CZE,2023,20.1842
DEU,2023,24.331
DJI,2023,11.0269
DNK,2023,26.3949
DOM,2023,8.3114
DZA,2023,8.8042
ECU,2023,6.928
EGY,2023,3.933
ERI,2023,2.3585
ESP,2023,14.1751
EST,2023,29.1198
ETH,2023,3.4596
FIN,2023,31.3698
FRA,2023,17.726
GAB,2023,4.439
GBR,2023,17.3156
GEO,2023,11.6459
GHA,2023,6.1788
GIN,2023,4.1048
GMB,2023,3.0313
GNQ,2023,3.9008
GRC,2023,14.5941
GTM,2023,8.4987
HND,2023,5.8608
HRV,2023,15.4821
HTI,2023,2.4925
HUN,2023,18.7996
IDN,2023,7.7037
IND,2023,5.2115
IRL,2023,29.3998
IRN,2023,5.9253
IRQ,2023,3.2196
ISL,2023,32.215
ISR,2023,33.5812
ITA,2023,16.203
JAM,2023,5.2176
JOR,2023,7.378
JPN,2023,17.8951
KAZ,2023,17.0764
KEN,2023,4.8411
KGZ,2023,3.3874
KHM,2023,8.7306
KOR,2023,23.8556
KWT,2023,40.8308
LAO,2023,10.0218
LBN,2023,10.3075
LBR,2023,1.6605
LBY,2023,12.7146
LKA,2023,4.0791
LTU,2023,23.5716
LUX,2023,74.171
LVA,2023,24.1775
MAR,2023,5.8469
MDA,2023,8.7534
MDG,2023,2.0496
MEX,2023,11.1529
MKD,2023,9.3255
MLI,2023,3.1647
MLT,2023,20.4629
MMR,2023,4.2307
MNG,2023,25.0436
MOZ,2023,2.2727
MRT,2023,5.7727
MWI,2023,3.5478
MYS,2023,21.3942
NAM,2023,12.8285
NER,2023,3.6066
NGA,2023,3.2012
NIC,2023,8.8344
NLD,2023,32.6525
NOR,2023,37.5221
NPL,2023,7.948
NZL,2023,33.0667
OMN,2023,38.4645
PAK,2023,3.9366
PAN,2023,38.5064
PER,2023,6.5779
PHL,2023,8.5983
PNG,2023,2.3099
POL,2023,14.47
PRK,2023,4.2452
PRT,2023,14.5234
PRY,2023,14.5613
PSE,2023,4.9
QAT,2023,74.1406
ROU,2023,18.6291
RUS,2023,11.6871
RWA,2023,3.3996
SAU,2023,23.5294
SDN,2023,4.1746
SEN,2023,5.4011
SGP,2023,53.0402
SLE,2023,2.9431
SLV,2023,9.1216
SOM,2023,3.7027
SRB,2023,16.7125
SSD,2023,2.3435
SVK,2023,16.2993
SVN,2023,20.8386
SWE,2023,23.9817
SYR,2023,2.2098
TCD,2023,8.0906
TGO,2023,2.4983
THA,2023,11.8544
TJK,2023,3.6286
TKM,2023,11.3794
TUN,2023,7.2848
TUR,2023,20.3806
TZA,2023,4.2552
UGA,2023,3.8715
UKR,2023,9.9915
URY,2023,9.463
USA,2023,31.5227
UZB,2023,5.0781
VEN,2023,10.3951
VNM,2023,11.7251
YEM,2023,1.6274
ZAF,2023,5.8132
ZMB,2023,2.6774
ZWE,2023,3.1335
