Country Code,PPP
ABW,41080.0
AFE,4247.934961
AFG,2210.0
AFW,5207.09532
AGO,7280.0
ALB,20990.0
AND,74250.0
ARB,18300.57663
ARE,76680.0
ARG,29460.0
ARM,20950.0
ATG,30140.0
AUS,67480.0
AUT,70510.0
AZE,22650.0
BDI,930.0
BEL,70010.0
BEN,4090.0
BFA,2640.0
BGD,9510.0
BGR,35670.0
BHR,60550.0
BHS,37560.0
BIH,22380.0
BLR,29830.0
BLZ,13320.0
BMU,116760.0
BOL,10620.0
BRA,20500.0
BRB,20490.0
BRN,86130.0
BTN,15360.0
BWA,21040.0
CAF,1330.0
CAN,63330.0
CEB,45166.46643
CHE,87740.0
CHL,31390.0
CHN,24970.0
CIV,6950.0
CMR,5300.0
COD,1570.0
COG,6500.0
COL,20410.0
COM,3920.0
CPV,10180.0
CRI,26120.0
CSS,30242.61291
CUW,30770.0
CYP,51730.0
CZE,52450.0
DEU,71100.0
DJI,7460.0
DMA,20270.0
DNK,75840.0
DOM,24670.0
DZA,16580.0
EAP,21456.05375
EAR,13018.11273
EAS,25375.61852
ECA,26792.22829
ECS,48515.82467
ECU,15550.0
EGY,17710.0
EMU,61486.50499
ESP,52970.0
EST,45330.0
ETH,3050.0
EUU,58854.43272
FCS,5474.32877
FIN,61900.0
FJI,14280.0
FRA,59410.0
FRO,78730.0
FSM,4660.0
GAB,19050.0
GBR,57650.0
GEO,23130.0
GHA,7070.0
GIN,3960.0
GMB,3220.0
GNB,2920.0
GNQ,12250.0
GRC,39890.0
GRD,17020.0
GTM,13490.0
GUY,43650.0
HIC,63333.08781
HKG,77560.0
HND,6640.0
HPC,3303.339561
HRV,45440.0
HTI,3280.0
HUN,43980.0
IBD,19432.22566
IBT,15436.66746
IDA,5066.581047
IDB,6266.708262
IDN,15010.0
IDX,4444.684062
IND,10180.0
IRL,95120.0
IRN,17620.0
IRQ,14710.0
ISL,78070.0
ISR,53100.0
ITA,57590.0
JAM,11300.0
JOR,10330.0
JPN,52860.0
KAZ,34600.0
KEN,6200.0
KGZ,7200.0
KHM,7260.0
KIR,5740.0
KNA,33810.0
KOR,53180.0
KWT,63380.0
LAC,20301.81904
LAO,8610.0
LBN,12530.0
LBR,1680.0
LBY,13910.0
LCA,23850.0
LCN,21151.1954
LDC,4198.985324
LIC,2206.002288
LKA,14020.0
LMC,9263.713141
LMY,14534.99304
LSO,3500.0
LTE,25882.13752
LTU,49360.0
LUX,98850.0
LVA,40510.0
MAC,113490.0
MAR,9700.0
MDA,18030.0
MDG,1770.0
MDV,21890.0
MEA,15484.18607
MEX,24240.0
MHL,9000.0
MIC,15811.66795
MKD,23140.0
MLI,3050.0
MLT,54540.0
MMR,5840.0
MNA,10520.39286
MNE,30890.0
MNG,16030.0
MOZ,1530.0
MRT,6950.0
MUS,31670.0
MWI,1780.0
MYS,35360.0
NAC,80558.27881
NAM,10710.0
NER,1850.0
NGA,6020.0
NIC,7940.0
NLD,77650.0
NOR,105610.0
NPL,5460.0
NRU,23720.0
NZL,52000.0
OED,58540.07164
OMN,39790.0
OSS,26479.91168
PAK,5930.0
PAN,37880.0
PER,16100.0
PHL,12190.0
PLW,16500.0
PNG,4320.0
POL,44980.0
PRE,4371.278623
PRI,32830.0
PRT,46170.0
PRY,16920.0
PSE,7180.0
PSS,7966.957906
PST,64691.34575
QAT,125240.0
ROU,44640.0
RUS,43690.0
RWA,3330.0
SAS,10085.81327
SAU,72020.0
SDN,2360.0
SEN,4620.0
SGP,117340.0
SLB,2840.0
SLE,3340.0
SLV,11880.0
SOM,1550.0
SRB,27250.0
SSA,4812.536679
SSF,4635.742383
SST,24842.72997
STP,6210.0
SUR,19170.0
SVK,43030.0
SVN,53450.0
SWE,70140.0
SWZ,10560.0
SXM,48320.0
SYC,30920.0
SYR,4480.0
TCA,34050.0
TCD,2900.0
TEA,21697.25584
TEC,34801.11147
TGO,3080.0
THA,22930.0
TJK,6190.0
TKM,19670.0
TLA,21111.25434
TLS,5630.0
TMN,10545.127
TON,8560.0
TSA,10085.81327
TSS,4635.742383
TTO,35310.0
TUN,13660.0
TUR,41890.0
TUV,8320.0
TZA,3940.0
UGA,3020.0
UKR,18160.0
UMC,22980.45006
URY,32040.0
USA,82600.0
UZB,11210.0
VCT,19860.0
VNM,14260.0
VUT,3940.0
WLD,22886.71942
WSM,6930.0
XKX,16130.0
ZAF,14990.0
ZMB,3880.0
ZWE,3770.0
